MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
Paan Singh Tomar, Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya,Action, Biography, Crime,0.04,Not Rated ,"37,118"
Rangasthalam 1985, Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu,Action, Drama,Nan,3.51,Not Rated ,"26,274"
The Terminator, Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield,Action, Sci-Fi,Nan,38.4,R ,"8,89,146"
Mad Max: Fury Road, Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz,Action, Adventure, Sci-Fi,154.06,R ,"10,34,185"
Pirates of the Caribbean: The Curse of the Black Pearl, Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley,Action, Adventure, Fantasy,305.41,PG-13 ,"11,58,123"
Blade Runner, Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos,Action, Drama, Sci-Fi,32.87,R ,"7,90,910"
Ford v Ferrari, Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe,Action, Biography, Drama,117.62,PG-13 ,"4,22,983"
Logan, Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook,Action, Drama, Sci-Fi,226.28,R ,"7,91,556"
Rush, Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara,Action, Biography, Drama,26.95,R ,"4,92,822"
How to Train Your Dragon, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson,Animation, Action, Adventure,217.58,PG ,"7,64,741"
"Lock, Stock and Two Smoking Barrels", Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham,Action, Comedy, Crime,3.9,R ,"5,96,805"
Warrior, Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison,Action, Drama, Sport,13.66,PG-13 ,"4,83,059"
The Iron Giant, Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel,Animation, Action, Adventure,23.16,PG ,"2,10,901"
Neon Genesis Evangelion: The End of Evangelion, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi,Animation, Action, Drama,Nan,TV-MA ,"59,044"
The Hidden Fortress, Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara,Action, Adventure, Drama,Nan,Not Rated ,"40,585"
White Heat, James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly,Action, Crime, Drama,Nan,Not Rated ,"34,399"
The General, Buster Keaton, Marion Mack, Glen Cavender, Jim Farley,Action, Adventure, Comedy,1.03,Passed ,"94,222"
Bajrangi Bhaijaan, Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor,Action, Adventure, Comedy,8.18,Not Rated ,"92,334"
Sholay, Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan,Action, Adventure, Comedy,Nan,Not Rated ,"57,225"
A Wednesday, Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual,Action, Crime, Drama,Nan,Not Rated ,"80,358"
Major, Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar,Action, Biography, Drama,Nan,UA ,"30,658"
Sarfarosh, Ali Khan, Akhilendra Mishra, Makrand Deshpande, Rajesh Joshi,Action, Drama, Thriller,Nan,Not Rated ,"26,283"
Hera Pheri, Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu,Action, Comedy, Crime,Nan,Not Rated ,"69,635"
Thuppakki, Joseph Vijay, Kajal Aggarwal, Vidyut Jammwal, Sathyan,Action, Thriller,Nan,Nan,Not Rated ,"36,001"
Kaththi, Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh, Tota Roy Chowdhury,Action, Drama,Nan,Nan,Not Rated ,"28,402"
Dune: Part One, Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac,Action, Adventure, Drama,108.33,PG-13 ,"6,86,694"
Zack Snyder's Justice League, Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams,Action, Adventure, Fantasy,Nan,R ,"4,16,015"
Guardians of the Galaxy, Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana,Action, Adventure, Comedy,333.18,PG-13 ,"12,25,709"
Blade Runner 2049, Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista,Action, Drama, Mystery,92.05,R ,"6,08,181"
The Incredibles, Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee,Animation, Action, Adventure,261.44,PG ,"7,65,878"
The Avengers, Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner,Action, Sci-Fi,Nan,623.28,PG-13 ,"14,20,108"
Deadpool, Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein,Action, Comedy,Nan,363.07,R ,"10,72,689"
Casino Royale, Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright,Action, Adventure, Thriller,167.45,PG-13 ,"6,72,735"
The Revenant, Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson,Action, Adventure, Drama,183.64,R ,"8,30,708"
Kill Bill: Vol, Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah,Action, Crime, Thriller,66.21,R ,"7,76,237"
Akira, Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda,Animation, Action, Drama,0.55,R ,"1,94,640"
Baahubali: The Beginning, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,6.74,Not Rated ,"1,30,652"
Ip Man, Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam,Action, Biography, Drama,Nan,R ,"2,28,919"
The Bourne Ultimatum, Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles,Action, Mystery, Thriller,227.47,PG-13 ,"6,45,312"
Infernal Affairs, Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang,Action, Crime, Drama,0.17,R ,"1,27,929"
Wolfwalkers, Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney,Animation, Action, Adventure,Nan,PG ,"35,474"
Elite Squad, Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz,Action, Crime, Drama,0.01,R ,"1,06,993"
Sanjuro, Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô,Action, Drama, Thriller,Nan,Not Rated ,"39,610"
Haider, Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon,Action, Crime, Drama,0.9,Not Rated ,"56,210"
Elite Squad 2: The Enemy Within, Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz,Action, Crime, Drama,0.1,Not Rated ,"84,879"
Tae Guk Gi: The Brotherhood of War, Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong,Action, Drama, War,1.11,R ,"40,416"
Andaz Apna Apna, Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor,Action, Comedy, Romance,Nan,Not Rated ,"54,285"
Karthikeya 2, Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu,Action, Adventure, Fantasy,Nan,UA ,"63,392"
Arjun Reddy, Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana,Action, Drama, Romance,Nan,Not Rated ,"26,400"
The Breath, Mete Horozoglu, Ilker Kizmaz, Birce Akalay, Ibrahim Akoz,Action, Drama, Thriller,Nan,Nan,"34,465"
1: Nenokkadine, Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat,Action, Thriller,Nan,Nan,Not Rated ,"45,944"
John Wick: Chapter 4, Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick,Action, Crime, Thriller,Nan,R ,"2,25,486"
Avatar, Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez,Action, Adventure, Fantasy,760.51,PG-13 ,"13,49,380"
Iron Man, Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges,Action, Adventure, Sci-Fi,318.41,PG-13 ,"10,86,276"
Edge of Tomorrow, Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson,Action, Adventure, Sci-Fi,100.21,PG-13 ,"7,01,904"
X-Men: Days of Future Past, Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy,Action, Adventure, Sci-Fi,233.92,PG-13 ,"7,26,929"
Star Trek, Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy,Action, Adventure, Sci-Fi,257.73,PG-13 ,"6,11,154"
Thor: Ragnarok, Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo,Action, Adventure, Comedy,315.06,PG-13 ,"7,80,142"
Children of Men, Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine,Action, Drama, Sci-Fi,35.55,R ,"5,12,911"
The Blues Brothers, John Belushi, Dan Aykroyd, Cab Calloway, John Candy,Action, Adventure, Comedy,57.23,R ,"2,06,482"
The Bourne Identity, Franka Potente, Matt Damon, Chris Cooper, Clive Owen,Action, Mystery, Thriller,121.66,PG-13 ,"5,60,243"
District 9, Sharlto Copley, David James, Jason Cope, Nathalie Boltt,Action, Sci-Fi, Thriller,115.65,R ,"6,96,695"
A Fistful of Dollars, Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy,Action, Drama, Western,14.5,R ,"2,24,164"
Ghost in the Shell, Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera,Animation, Action, Crime,0.52,TV-MA ,"1,49,125"
"Crouching Tiger, Hidden Dragon", Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen,Action, Adventure, Drama,128.08,PG-13 ,"2,76,123"
